File Name,Width,Height,Sampling,Used Memory,Result
FILE0001.jpg,500,664,[4:2:0],2416,0
FILE0002.jpg,560,480,[4:4:4],1972,0
FILE0003.jpg,1280,1024,[4:4:4],1928,0
FILE0004.jpg,1280,1024,[4:4:4],1812,0
FILE0005.jpg,1280,1024,[4:4:4],1888,0
FILE0006.jpg,737,1024,[4:4:4],1896,0
FILE0007.jpg,717,1024,[4:4:4],1908,0
FILE0008.jpg,1024,768,[4:4:4],1924,0
FILE0009.jpg,1024,768,[4:4:4],1952,0
FILE0010.jpg,1024,768,[4:4:4],1956,0
FILE0011.jpg,1024,768,[4:4:4],1948,0
FILE0012.jpg,1024,768,[4:4:4],2584,0
FILE0013.jpg,1024,768,[4:4:4],2584,0
FILE0014.jpg,1024,768,[4:4:4],2584,0
FILE0015.jpg,1024,768,[4:4:4],2584,0
FILE0016.jpg,668,658,[4:2:0],3096,0
FILE0017.jpg,670,669,[4:2:0],3096,0
FILE0018.jpg,760,690,[4:2:0],3096,0
FILE0019.jpg,406,419,[4:2:0],3096,0
FILE0020.jpg,447,471,[4:2:0],3096,0
FILE0021.jpg,716,730,[4:2:0],3096,0
FILE0022.jpg,672,688,[4:2:0],3096,0
FILE0023.jpg,527,492,[4:2:0],3096,0
FILE0024.jpg,672,737,[4:2:0],3096,0
FILE0025.jpg,682,7814,[4:2:0],2300,0
FILE0026.jpg,659,9240,[4:2:0],2280,0
FILE0027.jpg,640,11083,[4:2:0],2288,0
FILE0028.jpg,668,9567,[4:2:0],2288,0
FILE0029.jpg,678,7115,[4:2:0],2280,0
FILE0030.jpg,698,10379,[4:2:0],2292,0
FILE0031.jpg,1484,1200,[4:4:4],1856,0
FILE0032.jpg,820,6854,[4:2:0],2304,0
FILE0033.jpg,624,7865,[4:2:0],2280,0
FILE0034.jpg,450,600,[4:4:4],1936,2
FILE0035.jpg,416,480,[4:2:0],2496,0
FILE0036.jpg,794,1122,[4:4:4],1952,0
FILE0037.jpg,,,,,8
FILE0038.jpg,640,480,[4:2:0],3096,0
FILE0039.jpg,550,750,[4:4:4],1796,0
FILE0040.jpg,706,800,[4:4:4],2584,0
FILE0041.jpg,326,594,[4:2:0],2292,0
FILE0042.jpg,782,691,[4:4:4],1908,0
FILE0043.jpg,,,,,8
FILE0044.jpg,768,528,[4:4:4],1928,0
FILE0045.jpg,800,1132,[4:2:0],2364,0
FILE0046.jpg,800,957,[4:4:4],2584,0
FILE0047.jpg,775,1410,[4:2:0],2520,0
FILE0048.jpg,800,1150,[4:2:0],3096,0
FILE0049.jpg,900,1200,[4:2:0],3096,0
FILE0050.jpg,500,500,[4:2:0],2460,0
FILE0051.jpg,600,500,[4:2:0],2460,0
FILE0052.jpg,500,550,[4:2:0],2800,0
FILE0053.jpg,600,500,[4:2:0],2800,0
FILE0054.jpg,600,650,[4:2:0],2800,0
FILE0055.jpg,550,600,[4:2:0],2800,0
FILE0056.jpg,600,600,[4:2:0],2800,0
FILE0057.jpg,650,600,[4:4:4],2584,0
FILE0058.jpg,650,600,[4:4:4],2584,0
FILE0059.jpg,650,650,[4:4:4],2584,0
FILE0060.jpg,650,550,[4:4:4],2584,0
FILE0061.jpg,400,400,[4:2:0],2800,0
FILE0062.jpg,500,400,[4:2:0],2800,0
FILE0063.jpg,600,600,[4:2:0],2800,0
FILE0064.jpg,600,600,[4:2:0],2800,0
FILE0065.jpg,600,500,[4:2:0],2800,0
FILE0066.jpg,600,561,[4:2:0],2800,0
FILE0067.jpg,600,600,[4:2:0],2800,0
FILE0068.jpg,600,600,[4:2:0],2800,0
FILE0069.jpg,600,500,[4:2:0],2800,0
FILE0070.jpg,600,633,[4:2:0],2800,0
FILE0071.jpg,600,600,[4:2:0],2800,0
FILE0072.jpg,600,600,[4:2:0],2800,0
FILE0073.jpg,600,650,[4:2:0],2800,0
FILE0074.jpg,650,650,[4:2:0],2800,0
FILE0075.jpg,600,600,[4:2:0],2800,0
FILE0076.jpg,400,600,[4:2:0],2800,0
FILE0077.jpg,600,533,[4:2:0],2460,0
FILE0078.jpg,600,600,[4:2:0],2800,0
FILE0079.jpg,500,550,[4:2:0],2460,0
FILE0080.jpg,500,614,[4:2:0],2468,0
FILE0081.jpg,600,450,[4:2:0],2456,0
FILE0082.jpg,500,600,[4:2:0],2800,0
FILE0083.jpg,500,563,[4:2:0],2464,0
FILE0084.jpg,500,542,[4:2:0],2444,0
FILE0085.jpg,500,630,[4:2:0],2492,0
FILE0086.jpg,400,509,[4:2:0],2480,0
FILE0087.jpg,500,600,[4:2:0],2468,0
FILE0088.jpg,500,450,[4:2:0],2800,0
FILE0089.jpg,600,650,[4:2:0],2800,0
FILE0090.jpg,600,600,[4:2:0],2800,0
FILE0091.jpg,450,600,[4:2:0],2800,0
FILE0092.jpg,600,600,[4:2:0],2492,0
FILE0093.jpg,600,600,[4:2:0],2468,0
FILE0094.jpg,600,600,[4:2:0],2468,0
FILE0095.jpg,600,600,[4:2:0],2444,0
FILE0096.jpg,600,600,[4:2:0],2484,0
FILE0097.jpg,550,600,[4:2:0],2488,0
FILE0098.jpg,500,550,[4:2:0],2468,0
FILE0099.jpg,500,500,[4:2:0],2800,0
FILE0100.jpg,550,583,[4:2:0],2464,0
FILE0101.jpg,500,450,[4:2:0],2464,0
FILE0102.jpg,600,500,[4:2:0],2472,0
FILE0103.jpg,600,600,[4:2:0],2800,0
FILE0104.jpg,500,600,[4:2:0],2800,0
FILE0105.jpg,800,900,[4:4:4],2584,0
FILE0106.jpg,960,1278,[4:2:0],2452,0
FILE0107.jpg,720,780,[4:4:4],2584,0
FILE0108.jpg,600,900,[4:2:0],2428,0
FILE0109.jpg,800,640,[4:4:4],2584,0
FILE0110.jpg,450,450,[4:2:0],2296,0
FILE0111.jpg,500,600,[4:4:4],1904,0
FILE0112.jpg,1209,800,[4:2:0],2408,0
FILE0113.jpg,850,1000,[4:2:0],2452,0
FILE0114.jpg,480,469,[4:2:0],2416,0
FILE0115.jpg,850,500,[4:2:0],2444,0
FILE0116.jpg,600,600,[4:2:0],2420,0
FILE0117.jpg,500,636,[4:2:0],3096,0
FILE0118.jpg,900,600,[4:2:0],2416,0
FILE0119.jpg,480,800,[4:2:0],2436,0
FILE0120.jpg,608,597,[4:4:4],2584,0
FILE0121.jpg,1000,1155,[4:2:0],2436,0
FILE0122.jpg,640,853,[4:2:0],2424,0
FILE0123.jpg,738,520,[4:4:4],2584,0
FILE0124.jpg,738,779,[4:4:4],2584,0
FILE0125.jpg,480,640,[4:2:0],2448,0
FILE0126.jpg,640,480,[4:2:0],2800,0
FILE0127.jpg,800,500,[4:2:0],2268,0
FILE0128.jpg,640,640,[4:2:0],2800,0
FILE0129.jpg,800,615,[4:2:0],2432,0
FILE0130.jpg,480,480,[4:2:0],2800,0
FILE0131.jpg,600,600,[4:2:0],2400,0
FILE0132.jpg,1024,731,[4:2:0],2424,0
FILE0133.jpg,851,567,[4:2:0],2520,0
FILE0134.jpg,,,,,8
FILE0135.jpg,,,,,8
FILE0136.jpg,332,800,[4:2:0],2412,0
FILE0137.jpg,750,900,[4:2:0],2444,0
FILE0138.jpg,800,844,[4:2:0],2408,0
FILE0139.jpg,600,800,[4:2:0],2440,0
FILE0140.jpg,1000,550,[4:2:0],2468,0
FILE0141.jpg,,,,,8
FILE0142.jpg,567,650,[4:2:0],2436,0
FILE0143.jpg,,,,,8
FILE0144.jpg,522,848,[4:4:4],2584,0
FILE0145.jpg,,,,,8
FILE0146.jpg,730,600,[4:2:0],3096,0
FILE0147.jpg,929,768,[4:4:4],1996,0
FILE0148.jpg,969,647,[4:4:4],2000,0
FILE0149.jpg,,,,,8
FILE0150.jpg,490,490,[4:2:0],2376,0
FILE0151.jpg,800,590,[4:2:0],2396,0
FILE0152.jpg,500,550,[4:2:0],2380,0
FILE0153.jpg,1000,600,[4:2:0],3096,0
FILE0154.jpg,,,,,8
FILE0155.jpg,898,452,[4:4:4],2584,0
FILE0156.jpg,745,992,[4:2:0],2440,0
FILE0157.jpg,,,,,8
FILE0158.jpg,252,596,[4:2:0],2392,0
FILE0159.jpg,600,800,[4:4:4],2584,0
FILE0160.jpg,585,420,[4:4:4],2584,0
FILE0161.jpg,992,576,[4:4:4],2584,0
FILE0162.jpg,795,578,[4:4:4],2584,0
FILE0163.jpg,700,700,[4:4:4],2584,0
FILE0164.jpg,800,800,[4:4:4],2584,0
FILE0165.jpg,800,800,[4:4:4],2584,0
FILE0166.jpg,,,,,8
FILE0167.jpg,700,800,[4:2:0],2428,0
FILE0168.jpg,355,632,[4:4:4],2584,0
FILE0169.jpg,686,519,[4:4:4],1972,0
FILE0170.jpg,800,800,[4:2:0],2364,0
FILE0171.jpg,,,,,8
FILE0172.jpg,700,700,[4:2:0],2388,0
FILE0173.jpg,400,392,[4:4:4],2584,0
FILE0174.jpg,,,,,8
FILE0175.jpg,400,945,[4:2:0],2416,0
FILE0176.jpg,680,570,[4:2:0],2800,0
FILE0177.jpg,708,900,[4:2:0],2632,0
FILE0178.jpg,500,640,[4:2:0],2404,0
FILE0179.jpg,891,600,[4:2:0],2460,0
FILE0180.jpg,500,580,[4:4:4],2584,0
FILE0181.jpg,1073,775,[4:2:0],2408,0
FILE0182.jpg,670,527,[4:4:4],2584,0
FILE0183.jpg,448,728,[4:2:0],3096,0
FILE0184.jpg,500,703,[4:4:4],1944,0
FILE0185.jpg,600,532,[4:4:4],2584,0
FILE0186.jpg,334,722,[4:4:4],2584,0
FILE0187.jpg,800,800,[4:2:0],2420,0
FILE0188.jpg,349,500,[4:2:0],3096,0
FILE0189.jpg,494,636,[4:2:0],2428,0
FILE0190.jpg,685,457,[4:4:4],2584,0
FILE0191.jpg,523,796,[4:2:0],2416,0
FILE0192.jpg,792,706,[4:2:0],2416,0
FILE0193.jpg,498,811,[4:2:0],3096,0
FILE0194.jpg,678,805,[4:2:0],2428,0
FILE0195.jpg,538,808,[4:2:0],2412,0
FILE0196.jpg,300,700,[4:4:4],1916,0
FILE0197.jpg,800,686,[4:2:0],2364,0
FILE0198.jpg,480,800,[4:2:0],3096,0
FILE0199.jpg,624,832,[4:2:0],3096,0
FILE0200.jpg,,,,,8
FILE0201.jpg,589,600,[4:2:0],2372,0
FILE0202.jpg,553,415,[4:2:0],3096,0
FILE0203.jpg,680,940,[4:4:4],2584,0
FILE0204.jpg,859,767,[4:4:4],2584,0
FILE0205.jpg,,,,,8
FILE0206.jpg,740,650,[4:4:4],2032,0
FILE0207.jpg,800,832,[4:2:0],3096,0
FILE0208.jpg,480,779,[4:2:0],2392,0
FILE0209.jpg,444,622,[4:2:0],2420,0
FILE0210.jpg,565,600,[4:4:4],1976,0
FILE0211.jpg,850,1170,[4:2:0],2800,0
FILE0212.jpg,600,828,[4:4:4],2584,0
FILE0213.jpg,700,700,[4:4:4],2584,0
FILE0214.jpg,500,500,[4:2:0],3096,0
FILE0215.jpg,400,800,[4:2:0],2400,0
FILE0216.jpg,1050,635,[4:2:0],2484,0
FILE0217.jpg,547,571,[4:4:4],1932,0
FILE0218.jpg,468,800,[4:2:0],3096,0
FILE0219.jpg,,,,,8
FILE0220.jpg,800,800,[4:2:0],2464,0
FILE0221.jpg,750,682,[4:2:0],2384,0
FILE0222.jpg,840,400,[4:2:0],2412,0
FILE0223.jpg,750,562,[4:4:4],2584,0
FILE0224.jpg,900,964,[4:2:0],2444,0
FILE0225.jpg,810,694,[4:4:4],2028,0
FILE0226.jpg,800,610,[4:2:0],2424,0
FILE0227.jpg,450,600,[4:2:0],2424,0
FILE0228.jpg,600,296,[4:2:0],3096,0
FILE0229.jpg,797,600,[4:4:4],2584,0
FILE0230.jpg,600,276,[4:4:4],2584,0
FILE0231.jpg,1000,623,[4:2:0],3096,0
FILE0232.jpg,500,783,[4:2:0],2432,0
FILE0233.jpg,993,791,[4:2:0],2328,0
FILE0234.jpg,500,800,[4:2:0],2412,0
FILE0235.jpg,364,478,[4:2:2],2712,0
FILE0236.jpg,1024,742,[4:2:0],2800,0
FILE0237.jpg,700,1000,[4:2:0],3096,0
FILE0238.jpg,533,800,[4:4:4],1780,0
FILE0239.jpg,,,,,8
FILE0240.jpg,400,600,[4:4:4],2584,0
FILE0241.jpg,457,640,[4:4:4],1824,0
FILE0242.jpg,,,,,8
FILE0243.jpg,1280,960,[4:2:0],3096,6
FILE0244.jpg,800,600,[4:2:0],2800,0
FILE0245.jpg,1000,673,[4:2:0],2388,0
FILE0246.jpg,1000,707,[4:2:0],2692,0
FILE0247.jpg,482,830,[4:4:4],1924,0
FILE0248.jpg,640,728,[4:4:4],2584,0
FILE0249.jpg,1024,1456,[4:2:0],2800,0
FILE0250.jpg,240,320,[4:2:0],3096,0
FILE0251.jpg,320,240,[4:2:0],3096,0
FILE0252.jpg,320,240,[4:2:0],2460,0
FILE0253.jpg,500,595,[4:4:4],2584,0
FILE0254.jpg,,,,,8
FILE0255.jpg,650,535,[4:4:4],2584,0
FILE0256.jpg,1024,768,[4:4:4],2584,0
FILE0257.jpg,662,800,[4:4:4],2584,0
FILE0258.jpg,,,,,8
FILE0259.jpg,800,693,[4:4:4],2584,0
FILE0260.jpg,219,640,[4:4:4],2584,0
FILE0261.jpg,691,800,[4:4:4],2584,0
FILE0262.jpg,800,730,[4:4:4],1928,0
FILE0263.jpg,717,1024,[4:4:4],1960,0
FILE0264.jpg,454,640,[4:4:4],2584,0
FILE0265.jpg,320,240,[4:2:0],2276,0
FILE0266.jpg,1280,960,[4:4:4],2584,0
FILE0267.jpg,1280,960,[4:4:4],2584,0
FILE0268.jpg,1280,960,[4:4:4],2584,0
FILE0269.jpg,640,569,[4:4:4],2584,0
FILE0270.jpg,600,727,[4:4:4],1952,0
FILE0271.jpg,707,879,[4:4:4],2584,0
FILE0272.jpg,1147,1526,[4:4:4],2584,0
FILE0273.jpg,801,599,[4:2:0],3096,0
FILE0274.jpg,442,577,[4:2:0],3096,0
FILE0275.jpg,620,700,[4:4:4],2584,0
FILE0276.jpg,728,448,[4:4:4],2584,0
FILE0277.jpg,428,736,[4:4:4],1936,0
FILE0278.jpg,436,500,[4:4:4],1904,0
FILE0279.jpg,578,640,[4:4:4],1916,0
FILE0280.jpg,500,363,[4:4:4],1860,0
FILE0281.jpg,563,800,[4:4:4],2584,0
FILE0282.jpg,,,,,8
FILE0283.jpg,1284,1833,[4:2:0],3096,0
FILE0284.jpg,1279,1795,[4:2:0],3096,0
FILE0285.jpg,834,827,[4:4:4],2584,0
FILE0286.jpg,640,480,[4:4:4],2584,0
FILE0287.jpg,640,480,[4:4:4],2584,0
FILE0288.jpg,640,480,[4:4:4],2584,0
FILE0289.jpg,640,480,[4:4:4],2584,0
FILE0290.jpg,640,480,[4:4:4],2584,0
FILE0291.jpg,,,,,8
FILE0292.jpg,874,1353,[4:2:0],3096,0
FILE0293.jpg,1000,494,[4:4:4],1892,0
FILE0294.jpg,320,240,[4:2:0],2516,0
FILE0295.jpg,,,,,8
FILE0296.jpg,,,,,8
FILE0297.jpg,400,550,[4:4:4],2000,0
FILE0298.jpg,385,550,[4:4:4],2024,0
FILE0299.jpg,385,550,[4:4:4],1960,0
FILE0300.jpg,382,550,[4:4:4],1956,0
FILE0301.jpg,382,550,[4:4:4],1964,0
FILE0302.jpg,382,550,[4:4:4],1964,0
FILE0303.jpg,382,550,[4:4:4],1988,0
FILE0304.jpg,382,550,[4:4:4],1976,0
FILE0305.jpg,382,550,[4:4:4],1988,0
FILE0306.jpg,382,550,[4:4:4],1968,0
FILE0307.jpg,382,550,[4:4:4],1980,0
FILE0308.jpg,382,550,[4:4:4],1964,0
FILE0309.jpg,382,550,[4:2:0],2484,0
FILE0310.jpg,382,550,[4:4:4],1976,0
FILE0311.jpg,382,550,[4:4:4],1996,0
FILE0312.jpg,382,550,[4:4:4],2584,0
FILE0313.jpg,382,550,[4:4:4],2584,0
FILE0314.jpg,700,800,[4:2:0],2424,0
FILE0315.jpg,720,1024,[4:4:4],1936,0
FILE0316.jpg,675,809,[4:2:0],2372,0
FILE0317.jpg,616,840,[4:2:0],2324,0
FILE0318.jpg,1200,900,[4:2:0],2348,0
FILE0319.jpg,1024,768,[4:2:0],2328,0
FILE0320.jpg,768,1024,[4:4:4],2584,0
FILE0321.jpg,640,480,[4:4:4],2584,0
FILE0322.jpg,640,480,[4:4:4],2584,0
FILE0323.jpg,1575,1751,[4:2:0],3096,0
FILE0324.jpg,1575,1751,[4:2:0],3096,0
FILE0325.jpg,850,768,[4:4:4],1956,0
FILE0326.jpg,828,768,[4:4:4],1960,0
FILE0327.jpg,768,1024,[4:4:4],1936,0
FILE0328.jpg,768,1024,[4:4:4],2584,0
FILE0329.jpg,1024,768,[4:4:4],2584,0
FILE0330.jpg,1024,768,[4:4:4],2584,0
FILE0331.jpg,803,1024,[4:2:0],2472,0
FILE0332.jpg,768,1024,[4:2:0],2800,0
FILE0333.jpg,1089,768,[4:4:4],2584,0
FILE0334.jpg,1024,768,[4:4:4],2168,0
FILE0335.jpg,1024,768,[4:4:4],2156,0
FILE0336.jpg,1024,768,[4:4:4],2180,0
FILE0337.jpg,1024,768,[4:4:4],1988,0
FILE0338.jpg,824,1164,[4:2:0],2356,0
FILE0339.jpg,640,480,[4:2:0],2400,0
FILE0340.jpg,870,653,[4:4:4],1940,0
FILE0341.jpg,450,666,[4:4:4],2584,0
FILE0342.jpg,480,640,[4:4:4],1960,0
FILE0343.jpg,450,636,[4:4:4],2584,0
FILE0344.jpg,1024,768,[4:4:4],1924,0
FILE0345.jpg,1024,768,[4:2:0],3096,0
FILE0346.jpg,697,800,[4:4:4],2584,0
FILE0347.jpg,480,640,[4:4:4],1912,0
FILE0348.jpg,768,1024,[4:4:4],1948,0
FILE0349.jpg,1450,1076,[4:4:4],2584,0
FILE0350.jpg,1024,768,[4:4:4],2584,0
FILE0351.jpg,1024,768,[4:4:4],2584,0
FILE0352.jpg,1024,768,[4:4:4],2584,0
FILE0353.jpg,680,476,[4:4:4],2584,0
FILE0354.jpg,1000,1024,[4:4:4],1960,0
FILE0355.jpg,768,1024,[4:2:0],2800,0
FILE0356.jpg,768,1024,[4:4:4],2584,0
FILE0357.jpg,768,1024,[4:2:0],2428,0
FILE0358.jpg,768,1024,[4:2:0],2472,0
FILE0359.jpg,705,768,[4:4:4],1872,0
FILE0360.jpg,1024,642,[4:4:4],1948,0
FILE0361.jpg,1024,768,[4:4:4],1984,0
FILE0362.jpg,1024,768,[4:4:4],1964,0
FILE0363.jpg,1024,768,[4:4:4],2012,0
FILE0364.jpg,1024,768,[4:2:0],2400,0
FILE0365.jpg,758,1024,[4:4:4],1960,0
FILE0366.jpg,768,1024,[4:2:0],2800,0
FILE0367.jpg,768,1024,[4:4:4],1912,0
FILE0368.jpg,765,1024,[4:4:4],1872,0
FILE0369.jpg,1024,718,[4:4:4],1920,0
FILE0370.jpg,1024,768,[4:4:4],1956,0
FILE0371.jpg,,,,,8
FILE0372.jpg,1280,960,[4:4:4],2584,0
FILE0373.jpg,1024,768,[4:4:4],1988,0
FILE0374.jpg,1800,1023,[4:2:0],2240,0
FILE0375.jpg,1804,1024,[4:2:0],2204,0
FILE0376.jpg,1802,1024,[4:2:0],2200,0
FILE0377.jpg,1802,1024,[4:2:0],2196,0
FILE0378.jpg,459,500,[4:2:0],3096,0
FILE0379.jpg,475,531,[4:2:0],2436,0
FILE0380.jpg,478,598,[4:2:0],2308,0
FILE0381.jpg,330,550,[4:2:0],2336,0
FILE0382.jpg,500,488,[4:2:0],2456,0
FILE0383.jpg,519,379,[4:4:4],1892,0
FILE0384.jpg,410,615,[4:4:4],1848,0
FILE0385.jpg,400,500,[4:4:4],1928,0
FILE0386.jpg,580,414,[4:2:0],2356,0
FILE0387.jpg,400,547,[4:2:0],3096,0
FILE0388.jpg,400,564,[4:2:0],3096,0
FILE0389.jpg,341,567,[4:4:4],2584,0
FILE0390.jpg,167,429,[4:4:4],2584,0
FILE0391.jpg,455,561,[4:4:4],2584,0
FILE0392.jpg,640,425,[4:4:4],2584,0
FILE0393.jpg,640,480,[4:4:4],2584,0
FILE0394.jpg,128,102,[4:2:0],2800,0
FILE0395.jpg,,,,,8
FILE0396.jpg,560,420,[4:2:0],2340,0
FILE0397.jpg,500,500,[4:4:4],2584,0
FILE0398.jpg,457,640,[4:4:4],2584,0
FILE0399.jpg,480,640,[4:4:4],2584,0
FILE0400.jpg,750,500,[4:4:4],1764,0
FILE0401.jpg,750,375,[4:4:4],1868,0
FILE0402.jpg,425,550,[4:4:4],1876,0
FILE0403.jpg,419,670,[4:4:4],1800,0
FILE0404.jpg,500,400,[4:2:0],3096,0
FILE0405.jpg,444,555,[4:2:0],2800,0
FILE0406.jpg,720,409,[4:4:4],1884,0
FILE0407.jpg,720,409,[4:4:4],1920,0
FILE0408.jpg,720,409,[4:4:4],1920,0
FILE0409.jpg,442,359,[4:2:0],3096,0
FILE0410.jpg,500,746,[4:2:0],2692,0
FILE0411.jpg,600,472,[4:4:4],2584,0
FILE0412.jpg,724,411,[4:2:0],3096,0
FILE0413.jpg,512,291,[4:2:0],3096,0
FILE0414.jpg,461,640,[4:4:4],2584,0
FILE0415.jpg,401,576,[4:2:0],2412,0
FILE0416.jpg,750,654,[4:2:0],2348,0
FILE0417.jpg,640,480,[4:2:0],2440,0
FILE0418.jpg,720,409,[4:4:4],1888,0
